State,District,Taluka,Locality,Street,Landmark,Facility Name,Facility Type,Latitude,longitude,Region Indicator,Operational Status,Ownership Authority
Telangana,Adilabad,Utnoor,Utnoor,Boyawada,Near Little Flower School,"Community Health Centre, Utnoor",Community Health Center,19.3673515,78.7690499,Rural,Functional,State Government
Telangana,Adilabad,Boath,,Near Water Tank,,"Community Health Centre,Boath",Community Health Center,19.3399205,78.3216329,Rural,Functional,State Government
Telangana,Adilabad,Adilabad URBAN,Adilabad Town,RIMS Hospital Adilabad,RIMS Hospital Adilabad beside Auditorium,"Government Ayurvedic Dispensary, Adilabad (HQ) (Regular)",Ayurveda dispensary,19.6639678,78.5261109,Urban,Functional,State Government
Telangana,Adilabad,Bela,Bela,Main Road Shivaji Chowk,Near Shivaji Chowk,"Government Ayurvedic Dispensary, Bela (Regular)",Ayurveda dispensary,19.7181264,78.7732132,Rural,Functional,State Government
Telangana,Adilabad,Bazarhathnoor,Bheempur,Police Station Road,Beside ZPHS School,"Government Ayurvedic Dispensary, Bheempur (NRHM)",Ayurveda dispensary,19.7730129,78.4218988,Rural,Functional,State Government
Telangana,Adilabad,Utnoor,Danthanpally Village,"Musleem Colony, Danthanpally",Beside Raithuvedika,"Government Ayurvedic Dispensary, Danthanpally (NRHM)",Ayurveda dispensary,19.328812,78.8174876,Rural,Functional,State Government
Telangana,Adilabad,Inderavelly,Dasnapur,SC Wada,GramaPanchayath & PulajiBaba Temple,"Government Ayurvedic Dispensary, Dasnapur (Regular)",Ayurveda dispensary,19.4470643,78.6131561,Rural,Functional,State Government
Telangana,Adilabad,Bazarhathnoor,New Dehagoan,"Anganvadi, Shanthinagar",Beside Anganwadi,"Government Ayurvedic Dispensary, Dehagaon (Regular)",Ayurveda dispensary,19.4735763,78.3804282,Rural,Functional,State Government
Telangana,Adilabad,Utnoor,Hasnapur,Maruguda,Main Road Maruguda Hasnapur,"Government Ayurvedic Dispensary, Hasnapur (NRHM)",Ayurveda dispensary,19.4139615,78.800765,Rural,Functional,State Government
Telangana,Adilabad,Ichoda,Ichoda Village,Islampura Street,Sirchalma Road,"Government Ayurvedic Dispensary, Ichoda (Regular)",Ayurveda dispensary,19.4223691,78.4537257,Rural,Functional,State Government
